,Main_genre,Sec_genre
1064,Auto & Vehicles,
1065,Shopping,
1066,News & Magazines,
1067,Productivity,
1068,Action,
1069,News & Magazines,
1070,Health & Fitness,
1071,Communication,
1072,Casino,
1073,Sports,
1074,Dating,
1075,Simulation,
1076,Entertainment,Music & Video
1077,Entertainment,
1078,Shopping,
1079,Education,
1080,Shopping,
1081,Personalization,
1082,Sports,
1083,Photography,
1084,Lifestyle,
1085,Weather,
1086,Racing,
1087,Shopping,
1088,Communication,
1089,Arcade,
1090,Communication,
1091,Productivity,
1092,Sports,
1093,Social,
1094,Racing,Action & Adventure
1095,Entertainment,
1096,Entertainment,
1097,House & Home,
1098,News & Magazines,
1099,Arcade,
1100,Art & Design,
1101,Entertainment,
1102,Simulation,
1103,Simulation,
1104,Education,
1105,Tools,
1106,Education,
1107,Education,Education
1108,Dating,
1109,Sports,
1110,Word,
1111,Travel & Local,
1112,Business,
1113,Shopping,
1114,Puzzle,
1115,Role Playing,
1116,Communication,
1117,Entertainment,
1118,Sports,
1119,Video Players & Editors,
1120,Arcade,
1121,Arcade,Action & Adventure
1122,Tools,
1123,Strategy,
1124,Tools,
1125,Entertainment,
1126,Photography,
1127,Productivity,
1128,Communication,
1129,Finance,
1130,Education,
1131,Tools,
1132,Role Playing,
1133,Card,
1134,Arcade,
1135,Video Players & Editors,
1136,Arcade,
1137,Travel & Local,
1138,Photography,
1139,Tools,
1140,Social,
1141,Sports,
1142,Productivity,
1143,Shopping,
1144,Photography,
1145,Racing,
1146,Tools,
1147,House & Home,
1148,Maps & Navigation,
1149,Action,
1150,Social,
1151,Finance,
1152,Sports,
1153,Lifestyle,
1154,Entertainment,
1155,Business,
1156,Video Players & Editors,Creativity
1157,Weather,
1158,Role Playing,
1159,Music,
1160,Communication,
1161,News & Magazines,
1162,Simulation,
1163,Photography,
1164,Finance,
1165,Personalization,
1166,Entertainment,
1167,Arcade,
1168,Action,
1169,Medical,
1170,Photography,
1171,Productivity,
1172,Food & Drink,
1173,Board,
1174,Lifestyle,
1175,Casual,
1176,Books & Reference,
1177,Role Playing,Pretend Play
1178,Entertainment,
1179,Puzzle,
1180,Productivity,
1181,Tools,
1182,Action,
1183,Racing,
1184,Action,
1185,Personalization,
1186,Sports,
1187,Sports,
1188,Tools,
1189,Adventure,
1190,Communication,
1191,Action,
1192,Trivia,
1193,Role Playing,Brain Games
1194,Shopping,
1195,Food & Drink,
1196,Travel & Local,
1197,Travel & Local,
1198,Casual,
1199,Business,
1200,Role Playing,
1201,Video Players & Editors,
1202,Education,Education
1203,Tools,
1204,Casual,Action & Adventure
1205,Arcade,
1206,Sports,
1207,Action,
1208,Tools,
1209,Action,
1210,Food & Drink,
1211,Arcade,
1212,Productivity,
1213,Productivity,
1214,Action,
1215,Health & Fitness,
1216,Action,
1217,Role Playing,
1218,Photography,
1219,Action,
1220,Education,
1221,Shopping,
1222,Personalization,
1223,Board,
1224,Entertainment,
1225,Shopping,
1226,Video Players & Editors,
1227,Casual,Action & Adventure
1228,Health & Fitness,
1229,Lifestyle,Pretend Play
1230,Photography,
1231,Sports,
1232,Racing,
1233,Racing,Action & Adventure
1234,Tools,
1235,Adventure,
1236,Personalization,
1237,Tools,
1238,Sports,
1239,Finance,
1240,Video Players & Editors,
1241,Communication,
1242,Entertainment,Music & Video
1243,Social,
1244,Word,
1245,Role Playing,
1246,Tools,
1247,Simulation,
1248,Racing,
1249,Simulation,
1250,Strategy,
1251,Communication,
1252,Tools,
1253,Travel & Local,
1254,Tools,
1255,Finance,
1256,Sports,
1257,Word,
1258,Dating,
1259,Weather,
1260,Shopping,
1261,Travel & Local,
1262,Finance,
1263,Tools,
1264,Tools,
1265,Health & Fitness,
1266,Sports,
1267,Productivity,
1268,Weather,
1269,Board,
1270,Arcade,
1271,Education,Education
1272,Casual,Pretend Play
1273,Maps & Navigation,
1274,Adventure,
1275,Communication,
1276,Food & Drink,
1277,News & Magazines,
1278,Simulation,
1279,Finance,
1280,Entertainment,
1281,Libraries & Demo,
1282,Health & Fitness,
1283,Photography,
1284,Food & Drink,
1285,Card,Action & Adventure
1286,Strategy,Creativity
1287,Sports,
1288,Finance,
1289,Photography,
1290,Education,Education
1291,Action,
1292,Arcade,
1293,Card,
1294,Action,
1295,Casual,
1296,Tools,
1297,Libraries & Demo,
1298,Finance,
1299,Photography,
1300,Maps & Navigation,
1301,Health & Fitness,
1302,Shopping,
1303,Action,
1304,Casual,
1305,Photography,
1306,Action,
1307,Photography,
1308,Communication,
1309,Communication,
1310,Books & Reference,
1311,Finance,
1312,Communication,
1313,Productivity,
1314,Entertainment,Music & Video
1315,Simulation,
1316,Photography,
1317,Communication,
1318,Communication,
1319,Productivity,
1320,Sports,
1321,Tools,
1322,Video Players & Editors,
1323,Health & Fitness,
1324,Action,
1325,Arcade,
1326,Entertainment,
1327,Tools,
1328,Communication,
1329,Adventure,
1330,Sports,
1331,Action,
1332,Strategy,
1333,Tools,
1334,Travel & Local,
1335,Entertainment,Action & Adventure
1336,Maps & Navigation,
1337,Action,
1338,Video Players & Editors,Music & Video
1339,Personalization,
1340,Tools,
1341,Simulation,
1342,Arcade,
1343,Lifestyle,
1344,Health & Fitness,
1345,Tools,
1346,Entertainment,Music & Video
1347,Productivity,
1348,Health & Fitness,
1349,Auto & Vehicles,
1350,Puzzle,
1351,Photography,
1352,Books & Reference,
